citing_case,citing_holding_id,citing_direction,citing_pro_ds,citing_concept,citing_chamber,citing_pro_ds_purpose,citing_concept_cluster,citing_is_compensation,citing_core_holding,citing_justification,cited_case,cited_direction,cited_pro_ds_rate,cited_chamber,cited_year,cited_concept,cited_purpose_rate,concordance,is_concordant,is_discordant
C-17/22 & C-18/22,3,NEUTRAL_OR_UNCLEAR,0,LEGAL_OBLIGATION_BASIS,FOURTH,0,LAWFULNESS,0,"Legal obligation under Article 6(1)(c) can derive from Member State case-law provided it is clear, precise, foreseeable, meets a public interest objective, and is proportionate.","Court sets out conditions for legal obligation basis without definitively ruling whether German case-law meets them, leaving determination to national court.",C-252/21,PRO_DATA_SUBJECT,0.625,GRAND_CHAMBER,2023,CONSENT_BASIS,0.75,DISCORDANT_CITED_PRO_DS,False,True
C-175/20,1,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,FIFTH,1,SCOPE,0,"The collection by tax authorities of a Member State from an economic operator of personal data is subject to GDPR requirements, including Article 5(1) principles.",Broad interpretation of GDPR scope confirms tax authorities are subject to data protection requirements when collecting personal data.,C-311/18,PRO_DATA_SUBJECT,0.8,GRAND_CHAMBER,2020,INTERNATIONAL_TRANSFER,1.0,CONCORDANT_PRO_DS,True,False
C-175/20,1,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,FIFTH,1,SCOPE,0,"The collection by tax authorities of a Member State from an economic operator of personal data is subject to GDPR requirements, including Article 5(1) principles.",Broad interpretation of GDPR scope confirms tax authorities are subject to data protection requirements when collecting personal data.,C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,CONCORDANT_PRO_DS,True,False
C-175/20,3,MIXED,0,DATA_PROTECTION_PRINCIPLES,FIFTH,1,PRINCIPLES,0,Tax authorities may require disclosure of taxpayer data from internet service providers provided the data are necessary for specific purposes and collection period does not exceed strict necessity.,Permits tax authority data collection but imposes strict necessity and purpose limitation requirements protecting data subjects.,C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,DISCORDANT_CITED_PRO_DS,False,True
C-180/21,1,NEUTRAL_OR_UNCLEAR,0,DATA_PROTECTION_PRINCIPLES,FIFTH,0,PRINCIPLES,0,"Processing personal data for prosecution serves a different purpose than collection for detection and investigation, but such subsequent processing is permitted under Directive 2016/680 Article 4(2) conditions.","The Court clarifies that different purposes exist but permits subsequent processing under specified conditions, neither expanding nor restricting data subject rights.",C-673/17,PRO_DATA_SUBJECT,1.0,GRAND_CHAMBER,2019,CONSENT_BASIS,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-180/21,2,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,FIFTH,1,SCOPE,0,The GDPR applies to processing of personal data by a public prosecutor's office when defending the State in civil damages proceedings using data originally collected for criminal purposes.,"The Court interprets GDPR scope broadly to include processing by public authorities for civil defense purposes, ensuring data protection applies.",C-175/20,PRO_DATA_SUBJECT,0.6666666666666666,FIFTH,2022,DATA_PROTECTION_PRINCIPLES,1.0,CONCORDANT_PRO_DS,True,False
C-180/21,2,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,FIFTH,1,SCOPE,0,The GDPR applies to processing of personal data by a public prosecutor's office when defending the State in civil damages proceedings using data originally collected for criminal purposes.,"The Court interprets GDPR scope broadly to include processing by public authorities for civil defense purposes, ensuring data protection applies.",C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,CONCORDANT_PRO_DS,True,False
C-180/21,3,PRO_CONTROLLER,0,PUBLIC_INTEREST_BASIS,FIFTH,0,LAWFULNESS,0,Processing personal data by a public prosecutor's office for State defense in damages proceedings may be lawful under Article 6(1)(e) GDPR as a task carried out in the public interest.,"The Court permits public authorities to process personal data for litigation defense under the public interest basis, facilitating their defensive capabilities.",C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,DISCORDANT_CITED_PRO_DS,False,True
C-182/22 & C-189/22,1,NEUTRAL_OR_UNCLEAR,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,"The right to compensation under Article 82(1) GDPR fulfils an exclusively compensatory function, not a punitive or deterrent one.",The holding clarifies the nature of compensation without expanding or restricting rights; it confirms compensation must be full but not punitive.,C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,1,NEUTRAL_OR_UNCLEAR,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,"The right to compensation under Article 82(1) GDPR fulfils an exclusively compensatory function, not a punitive or deterrent one.",The holding clarifies the nature of compensation without expanding or restricting rights; it confirms compensation must be full but not punitive.,C-741/21,PRO_CONTROLLER,0.3333333333333333,THIRD,2024,REMEDIES_COMPENSATION,0.6666666666666666,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,2,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,The severity and intentional nature of a GDPR infringement need not be taken into account when determining compensation under Article 82(1).,"The holding benefits controllers by not increasing compensation for intentional violations, but also confirms presumed fault liability.",C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,2,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,The severity and intentional nature of a GDPR infringement need not be taken into account when determining compensation under Article 82(1).,"The holding benefits controllers by not increasing compensation for intentional violations, but also confirms presumed fault liability.",C-667/21,MIXED,0.2,THIRD,2023,SPECIAL_CATEGORIES_CONDITIONS,0.4,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,2,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,The severity and intentional nature of a GDPR infringement need not be taken into account when determining compensation under Article 82(1).,"The holding benefits controllers by not increasing compensation for intentional violations, but also confirms presumed fault liability.",C-687/21,PRO_CONTROLLER,0.0,THIRD,2024,REMEDIES_COMPENSATION,0.4,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,3,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,THIRD,1,ENFORCEMENT,1,Non-material damage from a data breach is not by its nature less significant than physical injury when determining compensation.,Elevating non-material damage to equal status with physical injury strengthens data subject compensation rights.,C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,DISCORDANT_CITED_PRO_CTRL,False,True
C-182/22 & C-189/22,4,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,Courts may award minimal compensation for non-serious damage provided it fully compensates the damage actually suffered.,Confirms no de minimis threshold (pro-data subject) but permits minimal/symbolic awards for minor damage (pro-controller).,C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,4,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,Courts may award minimal compensation for non-serious damage provided it fully compensates the damage actually suffered.,Confirms no de minimis threshold (pro-data subject) but permits minimal/symbolic awards for minor damage (pro-controller).,C-741/21,PRO_CONTROLLER,0.3333333333333333,THIRD,2024,REMEDIES_COMPENSATION,0.6666666666666666,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,4,MIXED,0,REMEDIES_COMPENSATION,THIRD,0,ENFORCEMENT,1,Courts may award minimal compensation for non-serious damage provided it fully compensates the damage actually suffered.,Confirms no de minimis threshold (pro-data subject) but permits minimal/symbolic awards for minor damage (pro-controller).,C-456/22,MIXED,0.0,THIRD,2023,REMEDIES_COMPENSATION,1.0,CONCORDANT_PRO_CTRL,True,False
C-182/22 & C-189/22,5,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,THIRD,1,ENFORCEMENT,1,"Identity theft requires actual misuse of identity by a third party, but compensation for data theft is not limited to cases of proven identity theft.","Clarifies that compensation is available for data theft even without proven identity theft or fraud, lowering the burden for claimants.",C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,DISCORDANT_CITED_PRO_CTRL,False,True
C-184/20,1,PRO_DATA_SUBJECT,1,LEGAL_OBLIGATION_BASIS,GRAND_CHAMBER,1,LAWFULNESS,0,"Online publication of declarations of private interests is precluded where it includes name-specific data about declarant's spouse, close relatives, or transactions exceeding EUR 3000.","Court restricts scope of permissible online publication of personal data, requiring proportionality assessment that favors privacy over transparency.",C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,CONCORDANT_PRO_DS,True,False
C-184/20,1,PRO_DATA_SUBJECT,1,LEGAL_OBLIGATION_BASIS,GRAND_CHAMBER,1,LAWFULNESS,0,"Online publication of declarations of private interests is precluded where it includes name-specific data about declarant's spouse, close relatives, or transactions exceeding EUR 3000.","Court restricts scope of permissible online publication of personal data, requiring proportionality assessment that favors privacy over transparency.",C-175/20,PRO_DATA_SUBJECT,0.6666666666666666,FIFTH,2022,DATA_PROTECTION_PRINCIPLES,1.0,CONCORDANT_PRO_DS,True,False
C-200/23,2,PRO_DATA_SUBJECT,1,CONTROLLER_DEFINITION,FIRST,1,ACTORS,0,"The authority maintaining the commercial register is both a recipient and controller of personal data it publishes, even for non-required data.",Broad interpretation of controller definition ensures commercial register authority bears GDPR obligations for all published data.,C-231/22,NEUTRAL_OR_UNCLEAR,0.5,THIRD,2024,ACCOUNTABILITY,1.0,MIXED_CITED,False,False
C-200/23,3,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,FIRST,1,RIGHTS,0,A Member State cannot refuse erasure requests for non-required personal data solely because redacted document copies were not provided by the applicant.,Data subjects can obtain erasure of non-required personal data from commercial registers without needing third-party cooperation.,C-439/19,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2021,DATA_PROTECTION_PRINCIPLES,0.5,CONCORDANT_PRO_DS,True,False
C-200/23,3,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,FIRST,1,RIGHTS,0,A Member State cannot refuse erasure requests for non-required personal data solely because redacted document copies were not provided by the applicant.,Data subjects can obtain erasure of non-required personal data from commercial registers without needing third-party cooperation.,C-252/21,PRO_DATA_SUBJECT,0.625,GRAND_CHAMBER,2023,CONSENT_BASIS,0.75,CONCORDANT_PRO_DS,True,False
C-200/23,3,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,FIRST,1,RIGHTS,0,A Member State cannot refuse erasure requests for non-required personal data solely because redacted document copies were not provided by the applicant.,Data subjects can obtain erasure of non-required personal data from commercial registers without needing third-party cooperation.,C-184/20,PRO_DATA_SUBJECT,1.0,GRAND_CHAMBER,2022,LEGAL_OBLIGATION_BASIS,1.0,CONCORDANT_PRO_DS,True,False
C-200/23,3,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,FIRST,1,RIGHTS,0,A Member State cannot refuse erasure requests for non-required personal data solely because redacted document copies were not provided by the applicant.,Data subjects can obtain erasure of non-required personal data from commercial registers without needing third-party cooperation.,C-180/21,NEUTRAL_OR_UNCLEAR,0.3333333333333333,FIFTH,2022,DATA_PROTECTION_PRINCIPLES,0.3333333333333333,DISCORDANT_CITED_PRO_CTRL,False,True
C-200/23,3,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,FIRST,1,RIGHTS,0,A Member State cannot refuse erasure requests for non-required personal data solely because redacted document copies were not provided by the applicant.,Data subjects can obtain erasure of non-required personal data from commercial registers without needing third-party cooperation.,C-460/20,MIXED,0.5,GRAND_CHAMBER,2022,RIGHT_TO_ERASURE,1.0,MIXED_CITED,False,False
C-200/23,4,PRO_DATA_SUBJECT,1,PERSONAL_DATA_SCOPE,FIRST,1,SCOPE,0,A handwritten signature of a natural person constitutes personal data under the GDPR.,Broad interpretation of personal data to include handwritten signatures expands scope of GDPR protection.,C-487/21,NEUTRAL_OR_UNCLEAR,0.5,FIRST,2023,RIGHT_OF_ACCESS,0.5,MIXED_CITED,False,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-300/21,MIXED,0.3333333333333333,THIRD,2023,REMEDIES_COMPENSATION,0.3333333333333333,CONCORDANT_PRO_CTRL,True,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-741/21,PRO_CONTROLLER,0.3333333333333333,THIRD,2024,REMEDIES_COMPENSATION,0.6666666666666666,CONCORDANT_PRO_CTRL,True,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-340/21,PRO_DATA_SUBJECT,0.6666666666666666,THIRD,2023,SECURITY,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-687/21,PRO_CONTROLLER,0.0,THIRD,2024,REMEDIES_COMPENSATION,0.4,CONCORDANT_PRO_CTRL,True,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-456/22,MIXED,0.0,THIRD,2023,REMEDIES_COMPENSATION,1.0,CONCORDANT_PRO_CTRL,True,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-590/22,PRO_CONTROLLER,0.25,THIRD,2024,REMEDIES_COMPENSATION,0.5,CONCORDANT_PRO_CTRL,True,False
C-200/23,5,MIXED,0,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,Loss of control over personal data for a limited period may constitute compensable non-material damage if the data subject proves actual damage occurred.,Broad concept of damage favors data subjects but requirement to prove actual damage creates a threshold that may limit recovery.,C-667/21,MIXED,0.2,THIRD,2023,SPECIAL_CATEGORIES_CONDITIONS,0.4,CONCORDANT_PRO_CTRL,True,False
C-200/23,6,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,A non-binding supervisory authority opinion cannot exempt the controller from liability under Article 82(3) GDPR.,"Controllers cannot escape liability by relying on DPA opinions, maintaining strong accountability standards.",C-340/21,PRO_DATA_SUBJECT,0.6666666666666666,THIRD,2023,SECURITY,1.0,CONCORDANT_PRO_DS,True,False
C-200/23,6,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,A non-binding supervisory authority opinion cannot exempt the controller from liability under Article 82(3) GDPR.,"Controllers cannot escape liability by relying on DPA opinions, maintaining strong accountability standards.",C-741/21,PRO_CONTROLLER,0.3333333333333333,THIRD,2024,REMEDIES_COMPENSATION,0.6666666666666666,DISCORDANT_CITED_PRO_CTRL,False,True
C-200/23,6,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,A non-binding supervisory authority opinion cannot exempt the controller from liability under Article 82(3) GDPR.,"Controllers cannot escape liability by relying on DPA opinions, maintaining strong accountability standards.",C-667/21,MIXED,0.2,THIRD,2023,SPECIAL_CATEGORIES_CONDITIONS,0.4,DISCORDANT_CITED_PRO_CTRL,False,True
C-203/22,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"In automated decision-making including profiling, data subjects may require controllers to explain in a concise, transparent, and intelligible form the procedure and principles actually applied to their personal data.","Broad interpretation of meaningful information requires controllers to explain procedure and principles of automated processing, enhancing data subject understanding and ability to exercise rights.",C-487/21,NEUTRAL_OR_UNCLEAR,0.5,FIRST,2023,RIGHT_OF_ACCESS,0.5,MIXED_CITED,False,False
C-203/22,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"In automated decision-making including profiling, data subjects may require controllers to explain in a concise, transparent, and intelligible form the procedure and principles actually applied to their personal data.","Broad interpretation of meaningful information requires controllers to explain procedure and principles of automated processing, enhancing data subject understanding and ability to exercise rights.",C-634/21,PRO_DATA_SUBJECT,1.0,FIRST,2023,AUTOMATED_DECISION_MAKING,1.0,CONCORDANT_PRO_DS,True,False
C-203/22,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"In automated decision-making including profiling, data subjects may require controllers to explain in a concise, transparent, and intelligible form the procedure and principles actually applied to their personal data.","Broad interpretation of meaningful information requires controllers to explain procedure and principles of automated processing, enhancing data subject understanding and ability to exercise rights.",C-307/22,PRO_DATA_SUBJECT,1.0,FIRST,2023,RIGHT_OF_ACCESS,1.0,CONCORDANT_PRO_DS,True,False
C-203/22,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"In automated decision-making including profiling, data subjects may require controllers to explain in a concise, transparent, and intelligible form the procedure and principles actually applied to their personal data.","Broad interpretation of meaningful information requires controllers to explain procedure and principles of automated processing, enhancing data subject understanding and ability to exercise rights.",C-446/21,PRO_DATA_SUBJECT,1.0,FOURTH,2024,DATA_MINIMISATION,1.0,CONCORDANT_PRO_DS,True,False
C-203/22,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"In automated decision-making including profiling, data subjects may require controllers to explain in a concise, transparent, and intelligible form the procedure and principles actually applied to their personal data.","Broad interpretation of meaningful information requires controllers to explain procedure and principles of automated processing, enhancing data subject understanding and ability to exercise rights.",C-169/23,MIXED,0.0,THIRD,2024,DPA_POWERS,1.0,DISCORDANT_CITED_PRO_CTRL,False,True
C-203/22,2,MIXED,0,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"When information under Article 15(1)(h) contains third-party data or trade secrets, the controller must provide it to the supervisory authority or court to balance competing interests.","Balances data subject access rights against trade secrets and third-party rights, requiring case-by-case assessment rather than blanket exclusions; invalidates Austrian provision creating automatic exception.",C-487/21,NEUTRAL_OR_UNCLEAR,0.5,FIRST,2023,RIGHT_OF_ACCESS,0.5,MIXED_CITED,False,False
C-203/22,2,MIXED,0,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"When information under Article 15(1)(h) contains third-party data or trade secrets, the controller must provide it to the supervisory authority or court to balance competing interests.","Balances data subject access rights against trade secrets and third-party rights, requiring case-by-case assessment rather than blanket exclusions; invalidates Austrian provision creating automatic exception.",C-268/21,NEUTRAL_OR_UNCLEAR,0.5,THIRD,2023,DATA_PROTECTION_PRINCIPLES,0.5,MIXED_CITED,False,False
C-203/22,2,MIXED,0,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"When information under Article 15(1)(h) contains third-party data or trade secrets, the controller must provide it to the supervisory authority or court to balance competing interests.","Balances data subject access rights against trade secrets and third-party rights, requiring case-by-case assessment rather than blanket exclusions; invalidates Austrian provision creating automatic exception.",C-634/21,PRO_DATA_SUBJECT,1.0,FIRST,2023,AUTOMATED_DECISION_MAKING,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-205/21,3,PRO_DATA_SUBJECT,1,SPECIAL_CATEGORIES_CONDITIONS,FIFTH,1,SPECIAL_CATEGORIES,0,National legislation providing for systematic collection of biometric and genetic data of all persons accused of intentional public prosecution offences is precluded without verification that collection is strictly necessary.,"The holding prohibits systematic blanket collection of sensitive biometric and genetic data, requiring individualized necessity assessment and limiting law enforcement discretion.",C-184/20,PRO_DATA_SUBJECT,1.0,GRAND_CHAMBER,2022,LEGAL_OBLIGATION_BASIS,1.0,CONCORDANT_PRO_DS,True,False
C-231/22,1,PRO_DATA_SUBJECT,1,CONTROLLER_DEFINITION,THIRD,1,ACTORS,0,"An official journal may be classified as a controller of personal data in published documents even without legal personality, where national law determines the purposes and means of processing.",Broad interpretation of controller definition to include official journals ensures data subjects can exercise their rights against the publishing entity.,C-683/21,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2023,ADMINISTRATIVE_FINES,0.5,CONCORDANT_PRO_DS,True,False
C-231/22,1,PRO_DATA_SUBJECT,1,CONTROLLER_DEFINITION,THIRD,1,ACTORS,0,"An official journal may be classified as a controller of personal data in published documents even without legal personality, where national law determines the purposes and means of processing.",Broad interpretation of controller definition to include official journals ensures data subjects can exercise their rights against the publishing entity.,C-807/21,PRO_CONTROLLER,0.5,GRAND_CHAMBER,2023,ADMINISTRATIVE_FINES,1.0,MIXED_CITED,False,False
C-231/22,2,NEUTRAL_OR_UNCLEAR,0,ACCOUNTABILITY,THIRD,1,PRINCIPLES,0,The official journal is solely responsible for compliance with Article 5(1) principles for its processing operations unless national law establishes joint responsibility with other entities in the processing chain.,The holding clarifies allocation of responsibility without expanding or restricting either controller obligations or data subject rights.,C-683/21,PRO_DATA_SUBJECT,0.75,GRAND_CHAMBER,2023,ADMINISTRATIVE_FINES,0.5,DISCORDANT_CITED_PRO_DS,False,True
C-247/23,1,PRO_DATA_SUBJECT,1,RIGHT_TO_RECTIFICATION,FIRST,1,RIGHTS,0,A national authority keeping a public register must rectify personal data relating to gender identity where those data are inaccurate under the accuracy principle.,Broad interpretation of rectification right prevents Member States from limiting gender identity rectification through absence of national procedures.,C-394/23,PRO_DATA_SUBJECT,1.0,FIRST,2025,DATA_PROTECTION_PRINCIPLES,1.0,CONCORDANT_PRO_DS,True,False
C-247/23,2,PRO_DATA_SUBJECT,1,RIGHT_TO_RECTIFICATION,FIRST,1,RIGHTS,0,Member States cannot require proof of gender reassignment surgery as condition for exercising the right to rectification of gender identity data in public registers.,"Prohibits surgery requirement for gender identity rectification, protecting transgender persons from disproportionate evidentiary burdens.",C-460/20,MIXED,0.5,GRAND_CHAMBER,2022,RIGHT_TO_ERASURE,1.0,MIXED_CITED,False,False
